Function,T_1_1,T_1_3,T_2_1,T_2_3,M1,M2
11.7682,16,25,18,16,14.4062,9.30643
11.7689,15,20,24,18,12.1921,11.3739
11.7707,15,20,20,17,12.8304,10.7817
11.7711,17,21,18,17,12.4065,11.1782
11.7713,18,18,15,15,11.5467,11.981
11.7719,17,17,20,17,10.7828,12.6949
11.7732,15,21,25,16,12.6142,10.9883
11.774,16,17,20,16,11.0467,12.4527
11.7742,15,21,19,15,13.4502,10.2102
11.7763,16,19,23,21,11.8591,11.6991
11.7776,15,18,17,19,13.154,10.493
11.7777,17,17,21,16,9.80828,13.6156
11.7778,16,18,22,23,12.4255,11.1734
11.778,16,22,22,16,12.4209,11.178
11.7783,15,18,18,17,12.8156,10.8102
11.7789,16,18,16,19,12.209,11.3775
11.779,17,19,19,15,11.4792,12.0587
11.781,16,20,21,17,11.948,11.6252
11.781,15,17,17,18,12.6403,10.9792
11.7823,16,22,22,18,13.3461,10.3229
11.7832,16,17,22,20,11.7011,11.8599
11.7838,16,19,23,17,11.7294,11.8346
11.7846,15,19,20,15,11.9749,11.607
11.7859,16,20,15,19,12.8171,10.8237
11.7862,17,17,19,17,11.3343,12.2078
11.7863,17,21,22,15,11.6456,11.9176
11.7865,19,17,16,18,10.4086,13.0723
11.7882,16,19,17,15,12.1645,11.437
11.7886,15,24,18,19,14.9129,8.87295
11.789,16,20,17,16,12.101,11.498
11.7896,19,17,21,17,10.2253,13.2493
11.7904,18,21,21,18,11.8691,11.7168
11.7918,15,22,21,17,13.5401,10.1603
11.7931,17,22,22,15,12.4393,11.19
11.7932,15,19,21,17,12.6955,10.951
11.7933,16,19,22,17,11.384,12.1752
11.7936,16,22,24,16,12.0211,11.5813
11.794,17,21,17,19,12.9043,10.7577
11.7941,16,18,19,15,11.4234,12.14
11.7942,15,21,17,18,13.7203,9.9968
11.7944,17,22,22,17,12.8246,10.833
11.7951,17,25,20,17,13.9069,9.82428
11.7957,16,21,17,16,13.4681,10.235
11.7961,16,24,18,17,13.5584,10.1515
11.7976,15,23,24,15,12.9874,10.6872
11.7979,17,18,20,15,10.7987,12.7304
11.7997,17,17,21,15,10.5418,12.9737
11.8002,16,19,16,21,12.7868,10.8795
11.8016,16,19,22,23,12.6318,11.027
11.8018,16,22,19,18,13.2008,10.4962
11.8026,16,18,24,17,11.6667,11.9294
11.803,20,21,20,15,10.4437,13.0715
11.8032,15,18,19,18,12.359,11.2845
11.8043,16,18,21,16,10.8933,12.6544
11.8044,18,21,15,15,12.795,10.8799
11.8045,16,22,16,24,14.0101,9.74612
11.8047,17,21,15,19,13.4029,10.3132
11.8048,17,22,21,18,12.9446,10.7412
11.805,16,17,20,22,12.0078,11.6157
11.8052,16,17,18,15,11.4914,12.0981
11.8059,16,21,19,16,13.1134,10.5858
11.8069,15,19,18,16,12.98,10.7121
11.8074,15,18,17,15,12.8669,10.8186
11.8081,17,17,21,20,11.4382,12.1533
11.8082,16,17,20,20,11.6025,12.0003
11.8089,16,24,21,22,14.0355,9.73108
11.809,15,22,24,17,13.3713,10.3511
11.8094,16,21,24,20,12.8485,10.8397
11.8096,16,18,25,16,11.3642,12.2252
11.8096,17,17,21,17,11.3738,12.2164
11.8112,18,22,18,17,12.4622,11.2037
11.8124,16,18,24,19,11.5899,12.02
11.8125,16,17,18,20,12.175,11.4741
11.8138,15,18,25,15,11.0942,12.4853
11.8146,16,17,24,23,12.1485,11.5029
11.8149,16,23,25,16,12.0472,11.5981
11.8159,16,20,16,17,12.3374,11.3293
11.816,16,21,23,18,12.7583,10.9367
11.8165,16,20,20,17,11.7825,11.8483
11.8167,17,22,25,16,12.0863,11.5651
11.8176,17,17,20,19,11.3963,12.2108
11.8188,17,24,20,15,12.8772,10.831
11.8189,15,18,22,18,12.3384,11.3341
11.8192,16,21,16,15,13.0677,10.6541
11.8205,18,17,16,17,11.1895,12.4094
11.8215,16,19,20,22,12.2356,11.4351
11.8217,17,18,23,17,10.739,12.8321
11.8222,16,24,16,17,14.1423,9.65706
11.8228,15,23,23,15,13.436,10.3174
11.8228,18,21,25,18,12.0035,11.6543
11.823,15,22,16,15,13.3727,10.3768
11.8231,16,21,21,16,12.3371,11.3434
11.8233,17,18,19,16,11.1353,12.4654
11.8233,17,18,15,17,11.6492,11.9858
11.8234,16,18,23,19,11.9025,11.7496
11.8236,15,18,20,15,11.6783,11.9593
11.8239,17,23,24,21,12.8224,10.8921
11.8242,15,17,16,20,12.5892,11.1104
11.8246,16,21,22,20,12.9391,10.7845
11.8265,18,19,24,15,10.5375,13.0293
11.8268,17,18,18,15,11.3885,12.2358
11.8269,16,21,24,18,12.9056,10.8202
11.8273,16,17,21,22,11.8799,11.7783
11.8279,18,23,21,18,12.3151,11.3732
11.828,15,17,21,23,13.1378,10.6056
11.8288,17,21,17,16,12.7653,10.9549
11.83,16,23,21,16,13.0486,10.6929
11.8332,16,22,20,21,13.4536,10.321
11.8333,18,21,24,15,11.3057,12.3257
11.8337,17,18,16,16,11.0696,12.5469
11.835,16,22,24,19,13.1281,10.6281
11.835,16,17,22,19,11.6015,12.053
11.8355,16,18,25,19,11.406,12.2363
11.8355,16,17,18,18,11.6522,12.0066
11.8363,16,24,15,15,13.7638,10.0376
11.8379,15,21,24,15,13.0927,10.6669
11.8389,15,17,22,18,12.73,11.0074
11.8419,16,18,19,19,12.0718,11.6273
11.8426,16,22,22,15,12.1605,11.5459
11.8428,16,23,21,17,13.3445,10.4415
11.843,16,19,20,15,11.2336,12.4116
11.843,17,22,19,22,13.5307,10.268
11.844,16,21,17,23,14.1666,9.67648
11.8441,17,18,20,17,11.4183,12.2414
11.8441,20,21,21,20,11.3937,12.2644
11.8442,18,22,18,16,12.1312,11.5764
11.8444,17,20,21,15,11.6581,12.0183
11.8447,15,24,21,18,14.7642,9.12015
11.8449,18,22,17,17,12.427,11.3017
11.846,16,20,21,18,11.9701,11.7302
11.847,15,18,25,16,11.4966,12.174
11.8474,17,18,22,17,11.3483,12.3131
11.8475,16,18,21,21,12.1035,11.6087
11.8477,16,17,24,20,11.4571,12.2123
11.8482,15,18,20,22,13.0004,10.7731
11.8489,17,18,24,19,11.064,12.5814
11.849,17,17,24,17,11.073,12.5732
11.8497,17,21,22,17,12.4498,11.2896
11.8498,18,24,21,15,12.4855,11.2566
11.8499,15,24,16,17,14.6515,9.23532
11.8507,16,25,19,17,14.0989,9.75259
11.8509,16,24,25,17,13.1867,10.6044
11.8518,17,19,22,19,11.3391,12.3303
11.8519,16,23,20,16,13.0317,10.7508
11.8532,15,17,20,19,12.4578,11.289
11.8536,16,18,22,18,11.8684,11.8398
11.8536,15,18,25,18,12.0096,11.708
11.8537,15,21,22,16,12.9256,10.8534
11.8552,18,21,20,15,11.7793,11.926
11.8554,16,21,18,20,13.387,10.4261
11.8555,17,21,22,18,12.5767,11.1826
11.8556,16,23,16,17,13.9037,9.94434
11.8564,16,17,22,18,11.3624,12.3173
11.8568,17,19,23,17,11.2275,12.4441
11.857,15,17,24,20,12.1794,11.5562
11.8578,15,18,21,20,12.1284,11.6052
11.8589,16,20,16,22,13.0696,10.729
11.8595,16,24,24,25,14.0484,9.81681
11.8615,17,23,16,20,13.2357,10.5791
11.8618,17,22,23,16,12.1934,11.5523
11.8633,18,21,18,19,12.5175,11.2528
11.8643,16,17,19,18,11.9721,11.7637
11.8652,15,17,15,17,13.1398,10.6756
11.8654,19,21,17,16,11.8477,11.8818
11.8659,16,23,15,15,13.4864,10.3536
11.8659,15,21,16,15,13.6583,10.1933
11.8662,16,17,16,18,12.2788,11.4812
11.8664,17,22,19,18,13.267,10.5593
11.8667,15,17,16,19,13.1388,10.6796
11.8677,16,18,22,22,11.5249,12.1877
11.8684,18,21,25,16,10.9877,12.6903
11.8692,16,19,20,17,12.3938,11.3796
11.87,16,19,20,16,11.5625,12.1569
11.8702,17,21,18,16,12.3628,11.4104
11.8702,16,22,22,19,13.5468,10.3056
11.8703,16,22,23,22,13.2937,10.542
11.8704,17,24,20,18,13.4076,10.4359
11.871,15,19,20,17,11.741,11.9923
11.8715,17,24,21,17,13.1077,10.7179
11.8717,16,22,19,16,13.2698,10.5669
11.8719,16,17,24,24,11.8092,11.9305
11.8721,18,17,17,18,10.8295,12.845
11.8734,16,21,20,23,13.587,10.2744
11.8743,16,19,15,15,12.3738,11.4082
11.8746,15,17,25,23,12.3458,11.4347
11.8751,17,25,17,16,14.0773,9.82004
11.8752,16,24,24,17,12.7672,11.0428
11.8753,16,22,16,20,14.1142,9.78586
11.8756,17,23,23,15,12.1459,11.6233
11.876,17,25,17,19,14.1838,9.72234
11.876,15,24,20,15,13.7159,10.1589
11.876,17,17,18,22,11.6595,12.078
11.8761,16,25,24,22,14.4676,9.45763
11.8763,16,21,19,20,13.3021,10.5458
11.8765,16,21,20,21,13.4069,10.4483
11.8767,15,17,20,21,12.7664,11.0463
11.878,17,25,23,15,13.3309,10.5222
11.8783,18,17,20,18,11.1298,12.5768
11.879,16,21,21,18,12.8965,10.9294
11.88,17,17,19,19,11.3769,12.3496
11.8813,17,21,25,17,12.0081,11.7629
11.8821,16,25,24,21,14.1056,9.80718
11.8824,16,19,25,15,10.8446,12.8509
11.8824,17,17,19,20,11.8663,11.8975
11.8827,15,17,19,19,12.6054,11.2083
11.8833,15,21,25,17,12.9685,10.8705
11.8833,19,21,22,19,11.8646,11.9007
11.884,17,21,24,17,12.389,11.4127
11.8841,16,21,16,22,13.8663,10.0343
11.8843,15,19,22,19,12.6159,11.2016
11.8844,16,25,24,18,13.541,10.3385
11.8855,16,22,23,16,12.6125,11.207
11.8866,15,23,25,21,14.1857,9.74112
11.8869,16,23,24,15,12.6547,11.1704
11.8871,18,24,20,19,13.1898,10.6714
11.8875,17,18,18,18,11.7456,12.0199
11.8876,15,22,22,19,13.7199,10.1776
11.8877,20,18,17,18,10.584,13.1043
11.8882,16,18,20,17,11.7033,12.0607
11.8886,16,18,22,19,11.2147,12.5174
11.8891,16,18,18,17,11.936,11.8454
11.8896,18,21,22,17,12.4262,11.3889
11.8903,15,21,17,15,14.1142,9.8149
11.8903,16,22,21,20,13.6707,10.2288
11.8904,17,21,23,17,12.2469,11.5577
11.8905,16,25,17,17,14.6552,9.31043
11.8905,15,17,19,18,12.661,11.1715
11.8905,20,21,25,15,10.5692,13.1236
11.8906,16,21,21,20,12.9147,10.935
11.8907,16,19,15,16,12.6349,11.1963
11.8916,16,22,21,19,13.0329,10.8265
11.8922,16,20,16,19,12.5922,11.239
11.8929,18,17,21,16,10.1749,13.4961
11.8929,15,19,22,15,12.2731,11.538
11.8932,16,18,15,16,12.1259,11.6761
11.8935,17,21,23,18,12.3012,11.5129
11.8947,15,23,17,21,14.8924,9.0973
11.8953,18,21,21,15,11.8903,11.8999
11.8954,20,17,20,15,9.55494,14.0796
11.8963,16,21,22,19,12.9138,10.9468
11.899,15,21,24,19,13.6025,10.3092
11.9001,15,20,16,16,13.0337,10.8423
11.9008,15,19,25,23,12.6927,11.1618
11.9008,17,23,25,16,12.8244,11.039
11.9019,15,19,16,16,12.4627,11.3785
11.9025,18,25,20,18,13.6239,10.2962
11.9029,20,21,20,18,11.6808,12.1103
11.9031,17,21,21,15,11.9451,11.864
11.9036,16,25,20,17,14.1139,9.84098
11.9038,17,19,24,18,11.0498,12.7008
11.9038,17,17,25,21,11.5835,12.2028
11.904,15,22,24,19,13.4923,10.4218
11.9054,17,17,24,24,12.121,11.7042
11.9056,16,22,25,19,12.4743,11.3748
11.9057,19,17,18,19,10.5044,13.2134
11.906,15,23,22,17,13.6724,10.2577
11.9077,17,19,15,17,11.9933,11.8278
11.9078,15,18,16,19,13.5453,10.3797
11.9088,15,18,17,17,12.7857,11.0905
11.909,15,23,20,15,13.6205,10.3119
11.9091,16,19,24,19,11.4606,12.3275
11.9097,18,21,20,18,12.0972,11.7348
11.9104,16,23,20,20,13.9508,10.0062
11.9111,18,21,19,15,11.9491,11.8757
11.9115,18,17,22,17,10.3289,13.3883
11.9115,16,19,24,16,11.1599,12.6128
11.9115,17,18,21,19,11.2206,12.5564
11.9116,17,21,19,15,12.6063,11.2633
11.9117,15,23,25,17,13.6875,10.2545
11.9122,15,18,15,16,13.145,10.7616
11.9123,15,19,24,15,12.0656,11.7693
